SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SSP2;IND;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.00E-01;1.97E-01;2.93E-01;6.65E-01;6.65E-01
SSP2;JPN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;9.67E-02;1.38E-01;1.79E-01;3.75E-01;3.75E-01
SSP2;LAM;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.29E-01;3.58E-01;5.87E-01;1.00E+00;1.00E+00
SSP2;MEA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;1.73E-01;2.93E-01;6.50E-01;6.50E-01
SSP2;NEN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;5.61E-02;1.40E-01;2.77E-01;4.13E-01;9.86E-01;9.86E-01
SSP2;NES;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;1.13E-01;1.74E-01;3.46E-01;3.46E-01
SSP2;OAS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.41E-01;4.04E-01;6.67E-01;1.00E+00;1.00E+00
SSP2;REF;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;7.24E-02;1.96E-01;3.20E-01;7.43E-01;7.43E-01
SSP2;SSA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;6.21E-02;2.29E-01;3.96E-01;8.47E-01;8.47E-01
SSP2;UKI;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;2.50E-02;1.17E-01;2.30E-01;3.43E-01;7.43E-01;7.43E-01
SSP2;USA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;3.25E-01;5.38E-01;1.00E+00;1.00E+00
SSP3;CAZ;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;2.77E-01;4.42E-01;9.74E-01;9.74E-01
